score,content_delivery_anchor,fluency_dialog_anchor,fluency_beach_anchor
0,내용전달이 전혀 안 됨,말을 전혀 못함 또는 무의미한 소리/한숨,그림설명을 전혀 못함
1,불충분한 대답(예: 성만 대고 이름을 말하지 못함),질문에 일정한 단어만 반복,일정한 단어만 반복
2,첫 6개 항목 중 정반응 1개,한 단어/한 어절 수준 반응,한 단어/한 어절 수준 반응 및 발화 간격이 김
3,첫 6개 항목 중 정반응 2개,따라말/되풀이 경향 및 시작 지연 가능,웅얼거림 음소착어 자가수정 반복 가능
4,첫 6개 항목 중 정반응 3개,어절 이상 자발발화 가능하나 전보문 경향(발화당 7음절 미만),전보문 중심 음소착어/반복 대용어 증가
5,첫 6개 항목 중 정반응 4개 + 약간의 그림설명,발화당 7음절 이상 가능 정상 억양 관찰,완전 문장 증가하나 전체 발화 수 적음(세 발화 이하)
6,첫 6개 항목 중 정반응 4개 + 약간의 그림설명(원문 상 5점과 유사 서술),신조어/음소착어 및 낱말찾기 어려움으로 머뭇/대용어,완전 문장 다수이나 발화속도 느리고 낱말찾기 어려움
7,첫 6개 항목 중 정반응 5개 + 사물/인물 언급 5개 이상,유창하나 요점을 찾지 못하거나 음소착어/조음장애 가능,완전 문장 다수이나 속도 느림 자가수정/반복 증가
8,첫 6개 항목 모두 정반응 + 그림설명 불충분 가능(음소착어는 정반응 처리),대부분 완전 문장이나 내용 부적절 가능,대부분 완전 문장 발화 간 간격은 길 수 있음
9,첫 6개 항목 모두 정반응 + 거의 완전한 그림설명 + 사물/인물/행동 언급 10개 이상,발화 길이/문법성은 정상이나 간헐적 머뭇거림 가능,발화 길이/문법성 정상 간헐적 낱말찾기 어려움
10,첫 6개 항목 모두 정반응 + 완벽한 그림설명,발화 길이/문법성 정상 및 말 흐름 원활,그림설명 매끄럽고 머뭇거림/착어/조음장애 없음
